89141:
 num     #instances         #bytes  class name (module)
 313:           405          22680  org.objectweb.asm.tree.InvokeDynamicInsnNode
 314:           417          22312  [Ljava.lang.reflect.Method; (java.base@25.0.3)
 315:            17          22288  [Ljava.util.concurrent.ForkJoinTask; (java.base@25.0.3)
 316:           346          22144  java.util.zip.Inflater (java.base@25.0.3)
 317:           687          21984  org.spongepowered.asm.util.ClassSignature
 318:           546          21840  net.minecraft.world.level.levelgen.synth.ImprovedNoise
 319:           903          21672  com.mojang.serialization.Encoder$1
 320:           338          21632  sun.security.ssl.CipherSuite (java.base@25.0.3)
 321:           450          21600  it.unimi.dsi.fastutil.longs.LongOpenHashSet
 322:           892          21408  com.mojang.serialization.Encoder$2
 323:           879          21096  it.unimi.dsi.fastutil.objects.ObjectArrayList
 324:           525          21000  net.minecraft.util.CubicSpline$Multipoint
 325:          1311          20976  java.lang.Integer (java.base@25.0.3)
 326:           327          20928  it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap
 327:           630          20160  com.llamalad7.mixinextras.lib.antlr.runtime.atn.ATNConfig
 328:           839          20136  java.lang.invoke.LambdaForm$NamedFunction (java.base@25.0.3)
 329:          1242          19872  com.mojang.serialization.Decoder$$Lambda/0x000010000127eba0
 330:          1242          19872  com.mojang.serialization.codecs.RecordCodecBuilder$Instance
 331:          1234          19744  com.mojang.serialization.codecs.RecordCodecBuilder$$Lambda/0x000010000127e708
 332:           408          19584  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@25.0.3)
 333:           814          19536  net.fabricmc.loader.impl.lib.classtweaker.utils.EntryTriple
 334:           809          19416  net.minecraft.world.level.biome.MobSpawnSettings$SpawnerData
 335:           603          19296  net.minecraft.world.level.levelgen.structure.pools.LegacySinglePoolElement
 336:           803          19272  org.spongepowered.asm.mixin.transformer.MethodMapper
 337:           801          19224  com.google.common.collect.ImmutableSortedMap$1EntrySet
 338:           600          19200  it.unimi.dsi.fastutil.ints.Int2ObjectAVLTreeMap$Entry
 339:           475          19000  java.util.WeakHashMap$Entry (java.base@25.0.3)
 340:           590          18880  it.unimi.dsi.fastutil.ints.IntAVLTreeSet$Entry
 341:          1180          18880  net.minecraft.nbt.IntTag
 342:           784          18816  net.minecraft.world.level.levelgen.SurfaceRules$TestRuleSource
 343:           180          18720  jdk.jfr.internal.PlatformEventType (jdk.jfr@25.0.3)
 344:           195          18720  net.minecraft.world.level.block.entity.BrushableBlockEntity
 345:           388          18624  net.minecraft.world.item.trading.VillagerTrade
 346:          1153          18448  net.minecraft.nbt.ShortTag
 347:           757          18168  java.util.jar.Attributes$Name (java.base@25.0.3)
 348:           753          18072  net.minecraft.world.level.storage.loot.providers.number.UniformGenerator
 349:           734          17616  net.minecraft.world.item.crafting.ShapedRecipePattern$Data
 350:           122          17568  sun.nio.fs.UnixFileAttributes (java.base@25.0.3)
 351:            52          17472  net.minecraft.world.entity.item.ItemEntity
 352:           534          17088  com.mojang.serialization.codecs.RecordCodecBuilder$Instance$$Lambda/0x000010000127f308
 353:           534          17088  com.mojang.serialization.codecs.RecordCodecBuilder$Instance$3
 354:           267          17088  net.minecraft.world.level.levelgen.structure.PoolElementStructurePiece
 355:           528          16896  net.minecraft.world.level.levelgen.structure.pools.JigsawJunction
 356:            71          16864  [Lnet.minecraft.world.level.pathfinder.Node;
 357:           694          16656  net.minecraft.util.random.WeightedList
 358:           345          16560  java.util.WeakHashMap (java.base@25.0.3)
 359:           515          16480  net.minecraft.server.level.Ticket
 360:          1029          16464  net.minecraft.nbt.CompoundTag
 361:           514          16448  com.mojang.datafixers.types.templates.Hook$HookType
 362:           513          16416  java.lang.ref.WeakReference (java.base@25.0.3)
 363:             1          16400  [Ljdk.internal.ref.PhantomCleanable; (java.base@25.0.3)
 364:           409          16360  com.llamalad7.mixinextras.lib.antlr.runtime.atn.BasicState
 365:           681          16344  net.minecraft.core.Holder$Direct
 366:          1021          16336  it.unimi.dsi.fastutil.chars.CharImmutableList
 367:           673          16152  java.util.OptionalInt (java.base@25.0.3)
 368:           662          15888  it.unimi.dsi.fastutil.shorts.ShortArrayList
 369:             8          15664  [Ljava.util.Hashtable$Entry; (java.base@25.0.3)
 370:           385          15400  com.google.common.collect.MapMakerInternalMap$WeakKeyDummyValueEntry$LinkedWeakKeyDummyValueEntry
 371:           636          15264  com.mojang.serialization.Decoder$2
 372:           237          15168  java.util.jar.JarFile (java.base@25.0.3)
 373:           945          15120  net.minecraft.util.CubicSpline$Constant
 374:           308          14784  org.spongepowered.asm.mixin.transformer.MixinInfo$State
 375:           613          14712  net.minecraft.nbt.SnbtGrammar$IntegerSuffix
 376:           610          14640  sun.reflect.annotation.AnnotationInvocationHandler (java.base@25.0.3)
 377:           911          14576  net.minecraft.util.parsing.packrat.Term$Alternative
 378:           363          14520  net.fabricmc.fabric.impl.base.event.ArrayBackedEvent
 379:           360          14400  [Ljava.util.HashSet; (java.base@25.0.3)
 380:           300          14400  sun.security.x509.X500Name (java.base@25.0.3)
 381:           578          13872  net.minecraft.world.level.levelgen.SurfaceRules$BlockRuleSource
 382:           855          13680  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap$1
 383:           212          13568  org.objectweb.asm.tree.FieldNode
 384:           421          13472  sun.nio.fs.UnixPath (java.base@25.0.3)
 385:           561          13464  java.lang.Long (java.base@25.0.3)
 386:           335          13400  com.mojang.serialization.codecs.RecordCodecBuilder$Instance$5
 387:           835          13360  com.google.common.collect.SingletonImmutableSet
 388:           104          13312  net.minecraft.world.level.chunk.ProtoChunk
 389:           181          13032  net.minecraft.world.level.block.Block
 390:           323          12920  net.minecraft.world.item.crafting.ShapelessRecipe
